# beta, nrmse, nmae, log_likelihood, log_likelihood_train
-7.999999999999998224e-01,3.309190277718941364e-01,7.542864032996445811e-01,-1.039443167394663988e+03,1.841833701347848518e+00
-6.999999999999997335e-01,2.738777054708270708e-01,6.875271216636428262e-01,-2.971607189297601508e+02,1.650112680388090780e+01
-5.999999999999996447e-01,3.518937627978311333e-01,7.538404474769394570e-01,-1.602082625745578753e+03,3.841582552080253787e+00
-5.000000000000000000e-01,4.962606917686840924e-01,9.917397949254377343e-01,-4.863249151053105379e+03,-7.717455282204642231e+01
-3.999999999999999112e-01,4.316349638286952617e-01,8.257311693547374487e-01,-3.089584740279085054e+03,-2.865053955956291887e+01
-2.999999999999998224e-01,5.732162334213087851e-01,1.323868535787315004e+00,-7.325740826546900280e+03,-1.207004611481520584e+02
-1.999999999999997335e-01,6.691984780373351205e-01,1.621911880926776073e+00,-9.177335745957052495e+03,-1.672346741338184302e+02
-9.999999999999964473e-02,6.038930732840648297e-01,1.298414279227144474e+00,-9.283278011799025990e+03,-1.538471166026444905e+02
0.000000000000000000e+00,6.683152980504755147e-01,1.313627263010207935e+00,-1.152778752118533885e+04,-1.821862508614780438e+02
1.000000000000005329e-01,6.874937631393143178e-01,1.365871179309259276e+00,-1.323675349380368607e+04,-2.330991266940474418e+02
2.000000000000001776e-01,5.755803695821769539e-01,1.322664645776682635e+00,-7.135773176565367976e+03,-1.059227516507392153e+02
2.999999999999998224e-01,6.608687924769105493e-01,1.351236126558496009e+00,-1.058304443424490819e+04,-1.863047432480534553e+02
4.000000000000003553e-01,4.391440268965014493e-01,9.494232318724555864e-01,-3.309034020297090137e+03,-3.490015044195556726e+01
5.000000000000000000e-01,3.573486121261673087e-01,8.394894041307029431e-01,-1.530852340349177666e+03,9.168238218778204107e-01
6.000000000000005329e-01,3.523364103830215477e-01,8.946746035045439749e-01,-1.496616582967471913e+03,-3.380974325197308339e+00
7.000000000000001776e-01,2.910640096590977333e-01,6.657443166384970912e-01,-6.455150901832121235e+02,1.768069535509080836e+01
8.000000000000007105e-01,3.526651811928014357e-01,7.754447639574987283e-01,-1.719588982020026378e+03,-1.406422923022549831e+01
9.000000000000003553e-01,3.129235415841150059e-01,7.927746945007183577e-01,-5.217962066216520043e+02,1.660739595104625721e+01
1.000000000000000000e+00,2.768608856786882177e-01,6.569939939130522433e-01,-2.876351430238977400e+02,2.048562944752951154e+01
1.100000000000000533e+00,2.393391676071611185e-01,6.723597795468689853e-01,4.252283892783640340e+01,2.505738608385416910e+01
1.200000000000000178e+00,2.995730490232360044e-01,7.449993349702160872e-01,-5.577979425347941742e+02,2.254460316637651474e+01
1.300000000000000711e+00,2.575353880332409973e-01,7.906419018885925132e-01,8.210756694479493945e+01,2.844297445751093534e+01
1.400000000000000355e+00,2.457733193611991718e-01,5.038761512226817008e-01,1.216915360336624161e+02,2.486313655162069480e+01
1.500000000000000000e+00,2.084289324621431128e-01,5.542800703430522669e-01,3.960569459901981304e+02,2.077239201762283827e+01
1.600000000000000533e+00,2.452497874352418672e-01,6.866480815098090495e-01,2.109777308897815260e+02,2.786233525374870013e+01
1.700000000000000178e+00,2.031622709012619876e-01,7.838661033340120765e-01,4.771637997191540990e+02,2.317971250471245526e+01
1.800000000000000711e+00,2.009654827128140309e-01,6.283522363209124162e-01,4.960300615954937484e+02,2.955658892071907218e+01
1.900000000000000355e+00,2.073051765024719606e-01,5.278473357888752160e-01,5.006077871444890661e+02,3.115260769246333794e+01
2.000000000000000000e+00,2.676246374462052380e-01,7.228890068553541770e-01,8.593384823541015294e+00,2.962652597277041977e+01
2.100000000000000533e+00,1.809699793986660754e-01,4.330181087805998197e-01,7.653040423570814710e+02,3.125624471138328531e+01
2.200000000000000178e+00,1.818016709289646538e-01,4.210611734727904842e-01,8.051618295566072447e+02,3.457585397329248167e+01
2.300000000000000711e+00,1.686145708499348639e-01,4.799078451618791763e-01,8.370103625066441282e+02,3.242731115381107543e+01
2.400000000000000355e+00,2.016217343218472124e-01,5.407441755072985856e-01,7.593749520064684475e+02,2.915853557517996819e+01
2.500000000000000000e+00,2.416607873613321744e-01,6.389460628866260317e-01,3.922574175959140348e+02,3.048393585472312139e+01
2.600000000000000533e+00,2.066872480369353060e-01,5.609622948343965243e-01,6.947105905972716755e+02,3.244272425171507024e+01
2.700000000000000178e+00,2.121524683819747126e-01,5.943825410559628875e-01,6.460201255196426473e+02,3.266503793484103113e+01
2.800000000000000711e+00,2.338929740856655892e-01,7.987083476966284623e-01,4.512512505078926210e+02,3.275150372084019068e+01
2.900000000000000355e+00,1.998169246526280141e-01,5.577283248258688708e-01,5.869506320544060145e+02,3.151544194414147526e+01
3.000000000000000000e+00,2.466663919239312774e-01,5.719727560947140965e-01,2.620030872238081656e+02,3.365646098012786780e+01
3.100000000000000533e+00,1.803333583568195175e-01,6.837792056738077884e-01,8.728703605665198211e+02,3.275012230402213476e+01
3.200000000000000178e+00,2.595181106638485558e-01,1.019817221882781899e+00,2.514224968631590400e+02,3.163805833262314593e+01
3.300000000000000711e+00,2.629587268728212912e-01,6.401902755285626689e-01,1.197109409663710267e+02,3.529177894965309292e+01
3.400000000000000355e+00,2.503554235350459733e-01,8.928671998826306355e-01,5.503446238308017655e+02,3.331835080282453987e+01
3.500000000000000000e+00,2.973054838371383402e-01,8.129974099733061621e-01,-2.410600011782205172e+02,3.382710515794645545e+01
3.600000000000000533e+00,2.819565580132420979e-01,9.324126902040648091e-01,1.285126769642070599e+01,3.339072832317813067e+01
3.700000000000000178e+00,3.334420575591049429e-01,8.909133828400909172e-01,-5.908617055909120381e+02,3.389315621063264672e+01
3.800000000000000711e+00,2.569993586758609894e-01,8.072343950010654190e-01,3.135714322327842183e+02,3.435775748332466151e+01
3.900000000000000355e+00,2.866540843822889539e-01,1.347320706599692830e+00,-4.793409789641054886e+01,3.426055488514168701e+01
4.000000000000000000e+00,2.617518118273265970e-01,1.043425270165902363e+00,2.830963573075139834e+02,3.279472850120950511e+01
