,num_sample,problem,seed
296,34,mf_Borehole,5
297,36,mf_Borehole,5
298,38,mf_Borehole,5
299,40,mf_Borehole,5
300,2,mf_CurrinExp,1
301,4,mf_CurrinExp,1
302,6,mf_CurrinExp,1
303,8,mf_CurrinExp,1
304,10,mf_CurrinExp,1
305,12,mf_CurrinExp,1
306,14,mf_CurrinExp,1
307,16,mf_CurrinExp,1
308,18,mf_CurrinExp,1
309,20,mf_CurrinExp,1
310,22,mf_CurrinExp,1
311,24,mf_CurrinExp,1
312,26,mf_CurrinExp,1
313,28,mf_CurrinExp,1
314,30,mf_CurrinExp,1
315,32,mf_CurrinExp,1
316,34,mf_CurrinExp,1
317,36,mf_CurrinExp,1
318,38,mf_CurrinExp,1
319,40,mf_CurrinExp,1
320,2,mf_CurrinExp,2
321,4,mf_CurrinExp,2
322,6,mf_CurrinExp,2
323,8,mf_CurrinExp,2
324,10,mf_CurrinExp,2
325,12,mf_CurrinExp,2
326,14,mf_CurrinExp,2
327,16,mf_CurrinExp,2
328,18,mf_CurrinExp,2
329,20,mf_CurrinExp,2
330,22,mf_CurrinExp,2
331,24,mf_CurrinExp,2
332,26,mf_CurrinExp,2
333,28,mf_CurrinExp,2
334,30,mf_CurrinExp,2
335,32,mf_CurrinExp,2
336,34,mf_CurrinExp,2
337,36,mf_CurrinExp,2
338,38,mf_CurrinExp,2
339,40,mf_CurrinExp,2
340,2,mf_CurrinExp,3
341,4,mf_CurrinExp,3
342,6,mf_CurrinExp,3
343,8,mf_CurrinExp,3
344,10,mf_CurrinExp,3
345,12,mf_CurrinExp,3
346,14,mf_CurrinExp,3
347,16,mf_CurrinExp,3
348,18,mf_CurrinExp,3
349,20,mf_CurrinExp,3
350,22,mf_CurrinExp,3
351,24,mf_CurrinExp,3
352,26,mf_CurrinExp,3
353,28,mf_CurrinExp,3
354,30,mf_CurrinExp,3
355,32,mf_CurrinExp,3
356,34,mf_CurrinExp,3
357,36,mf_CurrinExp,3
358,38,mf_CurrinExp,3
359,40,mf_CurrinExp,3
360,2,mf_CurrinExp,4
361,4,mf_CurrinExp,4
362,6,mf_CurrinExp,4
363,8,mf_CurrinExp,4
364,10,mf_CurrinExp,4
365,12,mf_CurrinExp,4
366,14,mf_CurrinExp,4
367,16,mf_CurrinExp,4
368,18,mf_CurrinExp,4
369,20,mf_CurrinExp,4
370,22,mf_CurrinExp,4
371,24,mf_CurrinExp,4
372,26,mf_CurrinExp,4
373,28,mf_CurrinExp,4
374,30,mf_CurrinExp,4
375,32,mf_CurrinExp,4
376,34,mf_CurrinExp,4
377,36,mf_CurrinExp,4
378,38,mf_CurrinExp,4
379,40,mf_CurrinExp,4
380,2,mf_CurrinExp,5
381,4,mf_CurrinExp,5
382,6,mf_CurrinExp,5
383,8,mf_CurrinExp,5
384,10,mf_CurrinExp,5
385,12,mf_CurrinExp,5
386,14,mf_CurrinExp,5
387,16,mf_CurrinExp,5
388,18,mf_CurrinExp,5
389,20,mf_CurrinExp,5
390,22,mf_CurrinExp,5
391,24,mf_CurrinExp,5
392,26,mf_CurrinExp,5
393,28,mf_CurrinExp,5
394,30,mf_CurrinExp,5
395,32,mf_CurrinExp,5
396,34,mf_CurrinExp,5
397,36,mf_CurrinExp,5
398,38,mf_CurrinExp,5
399,40,mf_CurrinExp,5
400,2,mf_Hartman3,1
401,4,mf_Hartman3,1
402,6,mf_Hartman3,1
403,8,mf_Hartman3,1
404,10,mf_Hartman3,1
405,12,mf_Hartman3,1
406,14,mf_Hartman3,1
407,16,mf_Hartman3,1
408,18,mf_Hartman3,1
409,20,mf_Hartman3,1
410,22,mf_Hartman3,1
411,24,mf_Hartman3,1
412,26,mf_Hartman3,1
413,28,mf_Hartman3,1
414,30,mf_Hartman3,1
415,32,mf_Hartman3,1
416,34,mf_Hartman3,1
417,36,mf_Hartman3,1
418,38,mf_Hartman3,1
419,40,mf_Hartman3,1
420,2,mf_Hartman3,2
421,4,mf_Hartman3,2
422,6,mf_Hartman3,2
423,8,mf_Hartman3,2
424,10,mf_Hartman3,2
425,12,mf_Hartman3,2
426,14,mf_Hartman3,2
427,16,mf_Hartman3,2
428,18,mf_Hartman3,2
429,20,mf_Hartman3,2
430,22,mf_Hartman3,2
431,24,mf_Hartman3,2
432,26,mf_Hartman3,2
433,28,mf_Hartman3,2
434,30,mf_Hartman3,2
435,32,mf_Hartman3,2
436,34,mf_Hartman3,2
437,36,mf_Hartman3,2
438,38,mf_Hartman3,2
439,40,mf_Hartman3,2
440,2,mf_Hartman3,3
441,4,mf_Hartman3,3
442,6,mf_Hartman3,3
443,8,mf_Hartman3,3
444,10,mf_Hartman3,3
445,12,mf_Hartman3,3
446,14,mf_Hartman3,3
447,16,mf_Hartman3,3
448,18,mf_Hartman3,3
449,20,mf_Hartman3,3
450,22,mf_Hartman3,3
451,24,mf_Hartman3,3
452,26,mf_Hartman3,3
453,28,mf_Hartman3,3
454,30,mf_Hartman3,3
455,32,mf_Hartman3,3
456,34,mf_Hartman3,3
457,36,mf_Hartman3,3
458,38,mf_Hartman3,3
459,40,mf_Hartman3,3
460,2,mf_Hartman3,4
461,4,mf_Hartman3,4
462,6,mf_Hartman3,4
463,8,mf_Hartman3,4
464,10,mf_Hartman3,4
465,12,mf_Hartman3,4
466,14,mf_Hartman3,4
467,16,mf_Hartman3,4
468,18,mf_Hartman3,4
469,20,mf_Hartman3,4
470,22,mf_Hartman3,4
471,24,mf_Hartman3,4
472,26,mf_Hartman3,4
473,28,mf_Hartman3,4
474,30,mf_Hartman3,4
475,32,mf_Hartman3,4
476,34,mf_Hartman3,4
477,36,mf_Hartman3,4
478,38,mf_Hartman3,4
479,40,mf_Hartman3,4
480,2,mf_Hartman3,5
481,4,mf_Hartman3,5
482,6,mf_Hartman3,5
483,8,mf_Hartman3,5
484,10,mf_Hartman3,5
485,12,mf_Hartman3,5
486,14,mf_Hartman3,5
487,16,mf_Hartman3,5
488,18,mf_Hartman3,5
489,20,mf_Hartman3,5
490,22,mf_Hartman3,5
491,24,mf_Hartman3,5
492,26,mf_Hartman3,5
493,28,mf_Hartman3,5
494,30,mf_Hartman3,5
495,32,mf_Hartman3,5
496,34,mf_Hartman3,5
497,36,mf_Hartman3,5
498,38,mf_Hartman3,5
499,40,mf_Hartman3,5
500,2,mf_Hartman6,1
501,4,mf_Hartman6,1
502,6,mf_Hartman6,1
503,8,mf_Hartman6,1
504,10,mf_Hartman6,1
505,12,mf_Hartman6,1
506,14,mf_Hartman6,1
507,16,mf_Hartman6,1
508,18,mf_Hartman6,1
509,20,mf_Hartman6,1
510,22,mf_Hartman6,1
511,24,mf_Hartman6,1
512,26,mf_Hartman6,1
513,28,mf_Hartman6,1
514,30,mf_Hartman6,1
515,32,mf_Hartman6,1
516,34,mf_Hartman6,1
517,36,mf_Hartman6,1
518,38,mf_Hartman6,1
519,40,mf_Hartman6,1
520,2,mf_Hartman6,2
521,4,mf_Hartman6,2
522,6,mf_Hartman6,2
523,8,mf_Hartman6,2
524,10,mf_Hartman6,2
525,12,mf_Hartman6,2
526,14,mf_Hartman6,2
527,16,mf_Hartman6,2
528,18,mf_Hartman6,2
529,20,mf_Hartman6,2
530,22,mf_Hartman6,2
531,24,mf_Hartman6,2
532,26,mf_Hartman6,2
533,28,mf_Hartman6,2
534,30,mf_Hartman6,2
535,32,mf_Hartman6,2
536,34,mf_Hartman6,2
537,36,mf_Hartman6,2
538,38,mf_Hartman6,2
539,40,mf_Hartman6,2
540,2,mf_Hartman6,3
541,4,mf_Hartman6,3
542,6,mf_Hartman6,3
543,8,mf_Hartman6,3
544,10,mf_Hartman6,3
545,12,mf_Hartman6,3
546,14,mf_Hartman6,3
547,16,mf_Hartman6,3
548,18,mf_Hartman6,3
549,20,mf_Hartman6,3
550,22,mf_Hartman6,3
551,24,mf_Hartman6,3
552,26,mf_Hartman6,3
553,28,mf_Hartman6,3
554,30,mf_Hartman6,3
555,32,mf_Hartman6,3
556,34,mf_Hartman6,3
557,36,mf_Hartman6,3
558,38,mf_Hartman6,3
559,40,mf_Hartman6,3
560,2,mf_Hartman6,4
561,4,mf_Hartman6,4
562,6,mf_Hartman6,4
563,8,mf_Hartman6,4
564,10,mf_Hartman6,4
565,12,mf_Hartman6,4
566,14,mf_Hartman6,4
567,16,mf_Hartman6,4
568,18,mf_Hartman6,4
569,20,mf_Hartman6,4
570,22,mf_Hartman6,4
571,24,mf_Hartman6,4
572,26,mf_Hartman6,4
573,28,mf_Hartman6,4
574,30,mf_Hartman6,4
575,32,mf_Hartman6,4
576,34,mf_Hartman6,4
577,36,mf_Hartman6,4
578,38,mf_Hartman6,4
579,40,mf_Hartman6,4
580,2,mf_Hartman6,5
581,4,mf_Hartman6,5
582,6,mf_Hartman6,5
583,8,mf_Hartman6,5
584,10,mf_Hartman6,5
585,12,mf_Hartman6,5
586,14,mf_Hartman6,5
587,16,mf_Hartman6,5
588,18,mf_Hartman6,5
589,20,mf_Hartman6,5
590,22,mf_Hartman6,5
591,24,mf_Hartman6,5
592,26,mf_Hartman6,5
593,28,mf_Hartman6,5
594,30,mf_Hartman6,5
595,32,mf_Hartman6,5
596,34,mf_Hartman6,5
597,36,mf_Hartman6,5
598,38,mf_Hartman6,5
599,40,mf_Hartman6,5
600,2,mf_Himmelblau,1
601,4,mf_Himmelblau,1
602,6,mf_Himmelblau,1
603,8,mf_Himmelblau,1
604,10,mf_Himmelblau,1
605,12,mf_Himmelblau,1
606,14,mf_Himmelblau,1
607,16,mf_Himmelblau,1
608,18,mf_Himmelblau,1
609,20,mf_Himmelblau,1
610,22,mf_Himmelblau,1
611,24,mf_Himmelblau,1
612,26,mf_Himmelblau,1
613,28,mf_Himmelblau,1
614,30,mf_Himmelblau,1
615,32,mf_Himmelblau,1
616,34,mf_Himmelblau,1
617,36,mf_Himmelblau,1
618,38,mf_Himmelblau,1
619,40,mf_Himmelblau,1
620,2,mf_Himmelblau,2
