,method,num_hf,num_lf,problem,seed
232,ck,6,40,Forrester_1a,2
233,ck,8,40,Forrester_1a,2
234,ck,10,40,Forrester_1a,2
235,ck,12,40,Forrester_1a,2
236,ck,14,40,Forrester_1a,2
237,ck,16,40,Forrester_1a,2
238,ck,18,40,Forrester_1a,2
239,ck,20,40,Forrester_1a,2
240,ck,2,45,Forrester_1a,2
241,ck,4,45,Forrester_1a,2
242,ck,6,45,Forrester_1a,2
243,ck,8,45,Forrester_1a,2
244,ck,10,45,Forrester_1a,2
245,ck,12,45,Forrester_1a,2
246,ck,14,45,Forrester_1a,2
247,ck,16,45,Forrester_1a,2
248,ck,18,45,Forrester_1a,2
249,ck,20,45,Forrester_1a,2
250,ck,2,50,Forrester_1a,2
251,ck,4,50,Forrester_1a,2
252,ck,6,50,Forrester_1a,2
253,ck,8,50,Forrester_1a,2
254,ck,10,50,Forrester_1a,2
255,ck,12,50,Forrester_1a,2
256,ck,14,50,Forrester_1a,2
257,ck,16,50,Forrester_1a,2
258,ck,18,50,Forrester_1a,2
259,ck,20,50,Forrester_1a,2
260,ck,2,55,Forrester_1a,2
261,ck,4,55,Forrester_1a,2
262,ck,6,55,Forrester_1a,2
263,ck,8,55,Forrester_1a,2
264,ck,10,55,Forrester_1a,2
265,ck,12,55,Forrester_1a,2
266,ck,14,55,Forrester_1a,2
267,ck,16,55,Forrester_1a,2
268,ck,18,55,Forrester_1a,2
269,ck,20,55,Forrester_1a,2
270,ck,2,60,Forrester_1a,2
271,ck,4,60,Forrester_1a,2
272,ck,6,60,Forrester_1a,2
273,ck,8,60,Forrester_1a,2
274,ck,10,60,Forrester_1a,2
275,ck,12,60,Forrester_1a,2
276,ck,14,60,Forrester_1a,2
277,ck,16,60,Forrester_1a,2
278,ck,18,60,Forrester_1a,2
279,ck,20,60,Forrester_1a,2
280,ck,2,65,Forrester_1a,2
281,ck,4,65,Forrester_1a,2
282,ck,6,65,Forrester_1a,2
283,ck,8,65,Forrester_1a,2
284,ck,10,65,Forrester_1a,2
285,ck,12,65,Forrester_1a,2
286,ck,14,65,Forrester_1a,2
287,ck,16,65,Forrester_1a,2
288,ck,18,65,Forrester_1a,2
289,ck,20,65,Forrester_1a,2
290,ck,2,70,Forrester_1a,2
291,ck,4,70,Forrester_1a,2
292,ck,6,70,Forrester_1a,2
293,ck,8,70,Forrester_1a,2
294,ck,10,70,Forrester_1a,2
295,ck,12,70,Forrester_1a,2
296,ck,14,70,Forrester_1a,2
297,ck,16,70,Forrester_1a,2
298,ck,18,70,Forrester_1a,2
299,ck,20,70,Forrester_1a,2
300,ck,2,75,Forrester_1a,2
301,ck,4,75,Forrester_1a,2
302,ck,6,75,Forrester_1a,2
303,ck,8,75,Forrester_1a,2
304,ck,10,75,Forrester_1a,2
305,ck,12,75,Forrester_1a,2
306,ck,14,75,Forrester_1a,2
307,ck,16,75,Forrester_1a,2
308,ck,18,75,Forrester_1a,2
309,ck,20,75,Forrester_1a,2
310,ck,2,80,Forrester_1a,2
311,ck,4,80,Forrester_1a,2
312,ck,6,80,Forrester_1a,2
313,ck,8,80,Forrester_1a,2
314,ck,10,80,Forrester_1a,2
315,ck,12,80,Forrester_1a,2
316,ck,14,80,Forrester_1a,2
317,ck,16,80,Forrester_1a,2
318,ck,18,80,Forrester_1a,2
319,ck,20,80,Forrester_1a,2
320,ck,2,85,Forrester_1a,2
321,ck,4,85,Forrester_1a,2
322,ck,6,85,Forrester_1a,2
323,ck,8,85,Forrester_1a,2
324,ck,10,85,Forrester_1a,2
325,ck,12,85,Forrester_1a,2
326,ck,14,85,Forrester_1a,2
327,ck,16,85,Forrester_1a,2
328,ck,18,85,Forrester_1a,2
329,ck,20,85,Forrester_1a,2
330,ck,2,90,Forrester_1a,2
331,ck,4,90,Forrester_1a,2
332,ck,6,90,Forrester_1a,2
333,ck,8,90,Forrester_1a,2
334,ck,10,90,Forrester_1a,2
335,ck,12,90,Forrester_1a,2
336,ck,14,90,Forrester_1a,2
337,ck,16,90,Forrester_1a,2
338,ck,18,90,Forrester_1a,2
339,ck,20,90,Forrester_1a,2
340,ck,2,95,Forrester_1a,2
341,ck,4,95,Forrester_1a,2
342,ck,6,95,Forrester_1a,2
343,ck,8,95,Forrester_1a,2
344,ck,10,95,Forrester_1a,2
345,ck,12,95,Forrester_1a,2
346,ck,14,95,Forrester_1a,2
347,ck,16,95,Forrester_1a,2
348,ck,18,95,Forrester_1a,2
349,ck,20,95,Forrester_1a,2
350,ck,2,100,Forrester_1a,2
351,ck,4,100,Forrester_1a,2
352,ck,6,100,Forrester_1a,2
353,ck,8,100,Forrester_1a,2
354,ck,10,100,Forrester_1a,2
355,ck,12,100,Forrester_1a,2
