,progress,linear_without_bias_normalized_mae,linear_without_bias_normalized_rmse,linear_without_bias_r2,linear_without_bias_cpu_time,linear_normalized_mae,linear_normalized_rmse,linear_r2,linear_cpu_time,quadratic_normalized_mae,quadratic_normalized_rmse,quadratic_r2,quadratic_cpu_time,cubic_normalized_mae,cubic_normalized_rmse,cubic_r2,cubic_cpu_time
64,finished,0.1997961844203314,0.041446166520861,0.9960359753125384,2.392145156860352,0.1803224289799576,0.0380162944110376,0.996664912903864,2.56449818611145,0.2353522305009436,0.0361896286321346,0.9969777118489668,2.484216451644897,0.3671267160614781,0.0553601667192153,0.992927672000386,5.235732555389404
65,finished,0.0592821090015178,0.0170452201729789,0.9993295400409404,2.245092868804932,0.0599787848396554,0.0170604459957895,0.9993283417151024,1.7782442569732666,0.0573674219359255,0.018070449348633,0.9992464613728568,2.608294486999512,0.1132842110123534,0.0203816063001563,0.9990413845326932,1.8460066318511963
66,finished,0.0707955695757956,0.01844220045838,0.999215138380758,1.706618070602417,0.0702931568559891,0.0184357030071948,0.9992156913193012,1.543691873550415,0.0674283556012256,0.0182929041919884,0.9992277944209058,1.7433016300201416,0.176609171329193,0.0222609359861951,0.9988564518463912,1.690385818481445
67,finished,0.0682339529961468,0.0183408213640776,0.9992237436294756,1.5881047248840332,0.0701675526240521,0.0183850547429079,0.9992199948499862,1.409982204437256,0.0783880197235803,0.0194144775286555,0.999130200746598,1.1049673557281494,0.0900752590849435,0.0193706461604823,0.999134123742219,1.1136798858642578
68,finished,0.0618046006862427,0.0167281181659029,0.9993542539017908,2.2238948345184326,0.0623094333567828,0.0167990395575476,0.9993487668178777,1.871678590774536,0.0773934351568892,0.0177304278028346,0.9992745524065209,1.8130853176116943,0.0928365703222779,0.0183911432533168,0.9992194781416156,2.2265429496765137
69,finished,0.0608314827088956,0.0176095447406491,0.9992844106440064,1.8256983757019043,0.0584362240811431,0.0175577874363002,0.9992886109283178,1.6417558193206787,0.0584773585040749,0.0175593417450252,0.9992884849708544,1.5822703838348389,0.0571773973080009,0.0167541793770113,0.9993522402820456,1.758455753326416
70,finished,1.923973083688206,0.4372029170985653,0.5516389142122485,0.7443294525146484,1.5789011281440135,0.4189796436379207,0.5882366805619101,0.4742569923400879,2.6210225569562526,0.5470852639903849,0.2979438562328602,0.4799599647521972,2.1935207117093767,0.5126056062676617,0.3836484200394142,0.6530132293701172
71,finished,0.685589924797987,0.158411439937321,0.9411380163721268,0.7823400497436523,0.5109642497242544,0.1309864256872591,0.959754771909947,0.5979974269866943,1.8013548529689007,0.2967296349216319,0.7934697575996543,0.5768985748291016,19.849293657305807,2.317108832885243,-11.593738631362648,0.4698212146759033
72,finished,0.3059857352139633,0.0771674173492659,0.9860321442540568,0.9037981033325196,0.3002710552059728,0.0757957180202363,0.9865243056135702,0.7679767608642578,0.3834350558911757,0.0669515207509039,0.989485643394484,0.8220138549804688,0.2615708555600665,0.056727689552763,0.9924516504804756,1.0396130084991455
73,finished,0.1491007449515586,0.0311475411361384,0.9977243296744966,0.9878206253051758,0.1327441224248177,0.029267043398173,0.997990816914469,0.7082154750823975,0.1716809104416809,0.0427157171925771,0.9957200645868004,0.9154629707336426,0.335039970565574,0.0372615446608633,0.9967432567694582,1.0986108779907229
74,finished,0.6393838275259323,0.0961588033167649,0.9783109809518667,1.3785781860351562,0.6758353606068797,0.0901079346411203,0.9809546972388372,0.887779951095581,0.3950677723237487,0.0660898895407819,0.989754530559256,0.9754996299743652,0.3553248349512217,0.0656719057093594,0.989883715174567,0.9299535751342772
75,finished,0.0775235571625813,0.0161787153344873,0.9993860261454764,1.1887836456298828,0.0754448931959313,0.0160664864221434,0.999394514659352,0.7632522583007812,0.301458397389098,0.0506236497800325,0.993988695656084,0.7950842380523682,0.079986274796955,0.0168737311062701,0.9993321421140904,0.8369405269622803
76,finished,0.0595705061649664,0.0175359145987739,0.9992786954798184,1.899878025054932,0.0579991717670928,0.0174640194539129,0.9992845978792956,1.6212985515594482,0.0597043604710274,0.0180949656524392,0.999231971499512,1.4988799095153809,0.1349588618077311,0.0201875640464787,0.9990440621773008,1.3057596683502195
77,finished,0.0522736584013632,0.0144046252467386,0.9995132950778028,1.6009438037872314,0.0523060656210641,0.0143827712408439,0.9995147707682146,1.1522133350372314,0.0462358625250405,0.0153514780850757,0.9994472074210043,1.4517452716827393,0.0667814775345793,0.015922344041058,0.9994053302904136,1.0513792037963867
78,finished,0.0526207511107587,0.0165027370398906,0.999361186965044,3.4261574745178223,0.0511821930133049,0.0164629582478592,0.999364262889329,3.479295253753662,0.0472297770159755,0.0162707403481237,0.9993790216780992,2.349857807159424,0.1082152954313978,0.0179385958899484,0.9992451881612964,2.232424020767212
79,finished,0.0539617489346111,0.0160723244265072,0.9993940745546293,2.284954071044922,0.0547365354274441,0.0160846684530337,0.9993931434594328,1.850970268249512,0.0522124954044213,0.0161305704942991,0.9993896748518734,1.678025245666504,0.0838039665269149,0.0178420245888906,0.9992532932497764,1.5416803359985352
80,finished,1.770576093193447,0.4215834357120091,0.5739568939903782,1.5476326942443848,1.248957986026696,0.3501483889046389,0.7061059935257761,1.476924180984497,2.055396303171697,0.4744877206259568,0.4603198805795513,1.355621576309204,559.8303453439324,45.544146825187525,-4971.234542378616,1.397158145904541
81,finished,1.5313828115508543,0.3962519046711017,0.6236177015242705,1.636752367019653,1.4430022186585325,0.3495682322518504,0.7070790855918232,1.302448034286499,1.465312069927628,0.3561166483674544,0.6960017950731876,1.269378423690796,1.4898090673236335,0.3649118356632994,0.6808003813635273,1.3261702060699463
82,finished,0.4665705947369756,0.0681645505705099,0.9888620922688212,1.819986581802368,0.466813466499536,0.0676657558432819,0.989024499364082,1.4947237968444824,0.4226927121269783,0.0623585878389474,0.9906786458656038,1.4152774810791016,0.2448425821551854,0.0443389194076932,0.9952874423747992,1.3929598331451416
83,finished,0.8353136791257704,0.1136905748751962,0.9690161494247512,1.922020673751831,0.7939657661682034,0.1112782563467868,0.9703170480931114,1.8814444541931152,0.7015637843807775,0.0987769121105213,0.9766117700324762,2.0116934776306152,0.7104722569184206,0.0912109729143163,0.9800574522328658,1.857940435409546
84,finished,0.4465818821067704,0.0996019328260311,0.9762194444075424,2.13193941116333,0.4665701926060887,0.0621847080569497,0.99073055644858,1.789402961730957,0.4741063299690836,0.0834133654428787,0.9833214707006844,1.7833025455474854,1.1578995360962316,0.1344975457119492,0.9566374130694948,1.947958946228028
