,num_sample,problem,seed
200,12,mf_Booth,11
201,14,mf_Booth,11
202,16,mf_Booth,11
203,18,mf_Booth,11
204,20,mf_Booth,11
205,12,mf_Booth,12
206,14,mf_Booth,12
207,16,mf_Booth,12
208,18,mf_Booth,12
209,20,mf_Booth,12
210,12,mf_Booth,13
211,14,mf_Booth,13
212,16,mf_Booth,13
213,18,mf_Booth,13
214,20,mf_Booth,13
215,12,mf_Booth,14
216,14,mf_Booth,14
217,16,mf_Booth,14
218,18,mf_Booth,14
219,20,mf_Booth,14
220,12,mf_Booth,15
221,14,mf_Booth,15
222,16,mf_Booth,15
223,18,mf_Booth,15
224,20,mf_Booth,15
225,12,mf_Booth,16
226,14,mf_Booth,16
227,16,mf_Booth,16
228,18,mf_Booth,16
229,20,mf_Booth,16
230,12,mf_Booth,17
231,14,mf_Booth,17
232,16,mf_Booth,17
233,18,mf_Booth,17
234,20,mf_Booth,17
235,12,mf_Booth,18
236,14,mf_Booth,18
237,16,mf_Booth,18
238,18,mf_Booth,18
239,20,mf_Booth,18
240,12,mf_Booth,19
241,14,mf_Booth,19
242,16,mf_Booth,19
243,18,mf_Booth,19
244,20,mf_Booth,19
245,12,mf_Booth,20
246,14,mf_Booth,20
247,16,mf_Booth,20
248,18,mf_Booth,20
249,20,mf_Booth,20
250,12,mf_Booth,21
251,14,mf_Booth,21
252,16,mf_Booth,21
253,18,mf_Booth,21
254,20,mf_Booth,21
255,12,mf_Booth,22
256,14,mf_Booth,22
257,16,mf_Booth,22
258,18,mf_Booth,22
259,20,mf_Booth,22
260,12,mf_Booth,23
261,14,mf_Booth,23
262,16,mf_Booth,23
263,18,mf_Booth,23
264,20,mf_Booth,23
265,12,mf_Booth,24
266,14,mf_Booth,24
267,16,mf_Booth,24
268,18,mf_Booth,24
269,20,mf_Booth,24
270,12,mf_Booth,25
271,14,mf_Booth,25
272,16,mf_Booth,25
273,18,mf_Booth,25
274,20,mf_Booth,25
275,12,mf_Booth,26
276,14,mf_Booth,26
277,16,mf_Booth,26
278,18,mf_Booth,26
279,20,mf_Booth,26
280,12,mf_Booth,27
281,14,mf_Booth,27
282,16,mf_Booth,27
283,18,mf_Booth,27
284,20,mf_Booth,27
285,12,mf_Booth,28
286,14,mf_Booth,28
287,16,mf_Booth,28
288,18,mf_Booth,28
289,20,mf_Booth,28
290,12,mf_Booth,29
291,14,mf_Booth,29
292,16,mf_Booth,29
293,18,mf_Booth,29
294,20,mf_Booth,29
295,12,mf_Booth,30
296,14,mf_Booth,30
297,16,mf_Booth,30
298,18,mf_Booth,30
299,20,mf_Booth,30
300,12,mf_Hartman3,1
301,14,mf_Hartman3,1
302,16,mf_Hartman3,1
303,18,mf_Hartman3,1
304,20,mf_Hartman3,1
305,12,mf_Hartman3,2
306,14,mf_Hartman3,2
307,16,mf_Hartman3,2
308,18,mf_Hartman3,2
309,20,mf_Hartman3,2
310,12,mf_Hartman3,3
311,14,mf_Hartman3,3
312,16,mf_Hartman3,3
313,18,mf_Hartman3,3
314,20,mf_Hartman3,3
315,12,mf_Hartman3,4
316,14,mf_Hartman3,4
317,16,mf_Hartman3,4
318,18,mf_Hartman3,4
319,20,mf_Hartman3,4
320,12,mf_Hartman3,5
321,14,mf_Hartman3,5
322,16,mf_Hartman3,5
323,18,mf_Hartman3,5
324,20,mf_Hartman3,5
325,12,mf_Hartman3,6
326,14,mf_Hartman3,6
327,16,mf_Hartman3,6
328,18,mf_Hartman3,6
329,20,mf_Hartman3,6
330,12,mf_Hartman3,7
331,14,mf_Hartman3,7
332,16,mf_Hartman3,7
333,18,mf_Hartman3,7
334,20,mf_Hartman3,7
335,12,mf_Hartman3,8
336,14,mf_Hartman3,8
337,16,mf_Hartman3,8
338,18,mf_Hartman3,8
339,20,mf_Hartman3,8
340,12,mf_Hartman3,9
341,14,mf_Hartman3,9
342,16,mf_Hartman3,9
343,18,mf_Hartman3,9
344,20,mf_Hartman3,9
345,12,mf_Hartman3,10
346,14,mf_Hartman3,10
347,16,mf_Hartman3,10
348,18,mf_Hartman3,10
349,20,mf_Hartman3,10
350,12,mf_Hartman3,11
351,14,mf_Hartman3,11
352,16,mf_Hartman3,11
353,18,mf_Hartman3,11
354,20,mf_Hartman3,11
355,12,mf_Hartman3,12
356,14,mf_Hartman3,12
357,16,mf_Hartman3,12
358,18,mf_Hartman3,12
359,20,mf_Hartman3,12
360,12,mf_Hartman3,13
361,14,mf_Hartman3,13
362,16,mf_Hartman3,13
363,18,mf_Hartman3,13
364,20,mf_Hartman3,13
365,12,mf_Hartman3,14
366,14,mf_Hartman3,14
367,16,mf_Hartman3,14
368,18,mf_Hartman3,14
369,20,mf_Hartman3,14
370,12,mf_Hartman3,15
371,14,mf_Hartman3,15
372,16,mf_Hartman3,15
373,18,mf_Hartman3,15
374,20,mf_Hartman3,15
375,12,mf_Hartman3,16
376,14,mf_Hartman3,16
377,16,mf_Hartman3,16
378,18,mf_Hartman3,16
379,20,mf_Hartman3,16
380,12,mf_Hartman3,17
381,14,mf_Hartman3,17
382,16,mf_Hartman3,17
383,18,mf_Hartman3,17
384,20,mf_Hartman3,17
385,12,mf_Hartman3,18
386,14,mf_Hartman3,18
387,16,mf_Hartman3,18
388,18,mf_Hartman3,18
389,20,mf_Hartman3,18
390,12,mf_Hartman3,19
391,14,mf_Hartman3,19
392,16,mf_Hartman3,19
393,18,mf_Hartman3,19
394,20,mf_Hartman3,19
395,12,mf_Hartman3,20
396,14,mf_Hartman3,20
397,16,mf_Hartman3,20
398,18,mf_Hartman3,20
399,20,mf_Hartman3,20
400,12,mf_Hartman3,21
401,14,mf_Hartman3,21
402,16,mf_Hartman3,21
403,18,mf_Hartman3,21
404,20,mf_Hartman3,21
405,12,mf_Hartman3,22
406,14,mf_Hartman3,22
407,16,mf_Hartman3,22
408,18,mf_Hartman3,22
409,20,mf_Hartman3,22
410,12,mf_Hartman3,23
411,14,mf_Hartman3,23
