,progress,linear_without_bias_normalized_mae,linear_without_bias_normalized_rmse,linear_without_bias_r2,linear_without_bias_cpu_time,linear_normalized_mae,linear_normalized_rmse,linear_r2,linear_cpu_time,quadratic_normalized_mae,quadratic_normalized_rmse,quadratic_r2,quadratic_cpu_time
23,finished,0.31219580652042,0.0818641204619553,0.9842700954958394,2.7619168758392334,0.3186679821966451,0.0732255463322841,0.9874146839316796,2.752147912979126,0.3308127208573586,0.074507735594764,0.9869700840250178,2.508979082107544
24,finished,0.3902607532236516,0.0565653832590923,0.9924899927933316,2.9818103313446045,0.4631576906801476,0.061595544367115,0.9910949270564392,2.515883684158325,0.4592435852071098,0.061381235191405,0.9911567860382612,2.6152188777923584
25,finished,1.1846359047764232,0.1667082650754875,0.9347691332250812,3.9767329692840576,0.9686878425025536,0.1407423279780606,0.9535069169302168,2.878098249435425,0.9655683513110352,0.1406853001492639,0.9535445866555246,2.7074573040008545
26,finished,0.0457032384041696,0.0151570370480273,0.9994607781153596,3.595692873001098,0.045653302252699,0.0151514817901806,0.9994611733070646,3.0751166343688965,0.0478897631495923,0.0153957681328034,0.9994436583050648,3.061031103134156
27,finished,0.047168275709751,0.0163402738781102,0.9993733030969448,2.8949637413024902,0.6285929189004438,0.0882649044224988,0.981714156596696,2.831267833709717,0.6460452406934257,0.087287362660463,0.9821169484222296,2.729372978210449
28,finished,0.04385672019015,0.0162612718704952,0.9993793483600252,4.177775144577026,0.0451913204861574,0.0163203826730177,0.9993748279391068,3.2449097633361816,0.0418872474674489,0.016206833682017,0.9993834969403158,3.07780385017395
29,finished,0.0861631647867105,0.0177553791534366,0.9992600561119456,3.39455246925354,0.0853773353876113,0.0177234629595331,0.9992627138943284,4.066991567611694,0.1426204717889393,0.0203801854965379,0.9990251110434042,3.4816787242889404
30,finished,6.017974555365302,1.4300849353547116,-3.803022214501396,1.5394999980926514,3.306658461463264,0.8875418372841081,-0.8499866739552924,1.299377679824829,37.31369322791736,6.254455032670377,-90.86918859840428,1.4114494323730469
31,finished,1.470630251147793,0.3019545543307295,0.7858716844929144,1.3690192699432373,1.349991690985763,0.2973637525384242,0.7923332390891787,1.5514678955078125,1.415802262081546,0.3470471796720962,0.7171423228761223,1.3557441234588623
32,finished,1.1947341939973677,0.2244082648359036,0.8817316256791569,1.5768983364105225,1.419422462573468,0.340286117482433,0.7280560538926281,1.4679632186889648,1.4917727918174883,0.4039703993691511,0.6167430676638871,1.4285759925842283
33,finished,0.1839336135283537,0.0366632825668022,0.9968431523468704,2.1769814491271973,0.2937451797383781,0.0470045682742297,0.9948111505756716,2.1677188873291016,0.2416500657933238,0.0400630228782042,0.9962305467462436,1.970022439956665
34,finished,0.4316702489185042,0.082539830444424,0.984000070222933,1.944585084915161,0.3944367136241173,0.0681842114017701,0.9890816106889572,2.535330295562744,0.5638545042338451,0.0828069051643433,0.983896360532346,2.219757318496704
35,finished,0.0566975146335881,0.0167593590434589,0.9993403618848496,2.114345073699951,0.4705168926007307,0.090310522722381,0.9808456400801192,1.6142659187316897,0.547690055192552,0.0883602396077341,0.9816639957257663,1.993422508239746
36,finished,0.0456840852730217,0.015800852060376,0.99941365672887,2.171926021575928,0.3137826398848927,0.0572472902504982,0.9923033666037164,1.7976624965667725,0.2956007944293731,0.0543718817104444,0.9930571200076884,1.864074945449829
37,finished,0.064437295579506,0.0173704475394578,0.999291380747322,2.386059761047364,0.0642725553145454,0.0173449844405341,0.9992934567349586,2.0480425357818604,0.0643432222391584,0.0173318313381409,0.999294527904818,2.3646790981292725
38,finished,0.0480229341101802,0.0155045196332314,0.9994354433045224,2.329955577850342,0.0481462799954526,0.0154901971284409,0.9994364858561724,2.4508793354034424,0.0493279467987168,0.0157738958669041,0.9994156556211404,2.3199284076690674
39,finished,0.0577278400943913,0.0157581298086398,0.999416823145446,2.1454381942749023,0.057998644235463,0.0157670237047061,0.99941616466908,2.920173406600952,0.0613255453530142,0.0162040749656655,0.9993833490297228,2.3422601222991943
40,finished,1.9828046585078145,0.5785755190855884,0.2070430183914378,1.2273709774017334,5.208298138473699,1.4507169282901555,-3.9853410907239866,0.8918306827545166,277.99622264105085,48.22548789779145,-5508.126948847628,0.8390049934387207
41,finished,0.5324239228977111,0.0740223325185645,0.9870205869932934,1.0914084911346436,0.757143165068742,0.0987689348764209,0.9768915795584228,0.994837999343872,0.9606432046932372,0.1379933090231184,0.954892830280356,0.8547806739807129
42,finished,0.7968469913386795,0.1038928694739524,0.9744317500752931,1.0566229820251465,0.8511756013907318,0.111638525716739,0.9704771890760836,1.26279616355896,0.848353530778311,0.1110364163069768,0.9707947859961998,1.582261085510254
43,finished,0.1841023698215347,0.0301877012544213,0.9978413133446832,2.084620952606201,0.237538701119473,0.0328917106793022,0.9974372724195716,2.744157075881958,0.1874059517581926,0.0365990238481452,0.9968270113076366,1.7467057704925537
44,finished,0.0867513998574109,0.0209013779244329,0.9989651453492372,3.412132978439331,0.084201629095103,0.0209115825183835,0.9989641346168876,1.927066802978516,0.0848154611915793,0.0208189090155166,0.9989732955265156,2.4148316383361816
45,finished,0.8132593711363928,0.1082301287950222,0.9722523715562276,1.829004049301148,0.7704931864100589,0.0997860083339797,0.9764132110912652,1.733351230621338,0.7672456505723498,0.0995767971169346,0.976512011472927,1.6716015338897705
46,finished,0.0714327661320426,0.0167170128684093,0.9993380169440288,1.6287434101104736,0.0697225916939541,0.0167074902974307,0.9993387709047112,1.663581371307373,0.0720562125908589,0.0166190189920086,0.9993457551869672,1.7382071018218994
47,finished,0.0469759027349183,0.0148544535440306,0.999477311578636,2.328604221343994,0.0466847258114859,0.0148286389521856,0.999479126692726,2.094066619873047,0.0607448722252695,0.0153263144524802,0.9994435771152468,2.036213159561157
48,finished,0.050946958869485,0.0156374620594463,0.9994207553145024,2.351310968399048,0.0509270677879842,0.0156243598564005,0.9994217255745084,2.1997501850128174,0.0558481199126725,0.0161044708826536,0.9993856406942984,1.8041951656341555
49,finished,0.0429362044241132,0.0152891924522665,0.9994462692843968,1.328301191329956,0.0429085669455896,0.0152830427842806,0.9994467146414984,1.2124035358428955,0.0428203437512063,0.0153181630569705,0.9994441688317836,1.2718112468719482
50,finished,1.4168776459583077,0.3707894102511752,0.6843937149830717,1.668858766555786,1.5446250081950068,0.3836595750533431,0.6621039758553396,1.7765076160430908,4.514687435094761,0.8418736133996864,-0.6269896655327529,1.69649338722229
51,finished,0.7443134642023503,0.1061558464100938,0.9741310480783284,1.679682970046997,0.7526569599098704,0.1209554354500525,0.966415276478714,1.671818494796753,0.908655031502561,0.1498243998267646,0.9484704805783968,1.6789445877075195
52,finished,0.3182681148864768,0.0625259211370091,0.9910254807004334,2.422081232070923,0.2908580251006668,0.0581255711807837,0.9922442202753016,1.7921795845031738,0.7575796008270848,0.0936250375547322,0.9798778209710264,1.9419488906860352
53,finished,0.2604101806972267,0.0479558187324568,0.994720733101872,2.104647159576416,0.222737723480054,0.0422268787279864,0.9959067434938194,2.001061201095581,0.2102129278390921,0.0408641368671239,0.9961666748441268,2.104485273361206
54,finished,0.2740708435801799,0.0635382458497736,0.9907325246336623,2.4677772521972656,0.250465815725337,0.0553598557662751,0.9929647279063766,2.057469367980957,0.2458436220802742,0.0574972365210102,0.9924109931929606,2.1164305210113525
55,finished,0.3875540466952744,0.0861772595462878,0.9829518853468134,2.197095394134521,0.3231257349462052,0.0721384228842531,0.9880539511705692,2.474868059158325,0.3273317189045206,0.0740953751589787,0.987397021325149,2.3566908836364746
56,finished,0.0488989768491462,0.0153625857616466,0.999458224153316,2.172365427017212,0.9559684891343416,0.1204904125819741,0.9666730183935934,2.055427312850952,0.8219312062841622,0.1084745005904527,0.972988648309885,2.2719714641571045
57,finished,0.0546789030098386,0.016315448258001,0.9993889327345736,2.603579044342041,0.054347701030806,0.0163110603584812,0.9993892613729491,2.2821736335754395,0.0542752946950917,0.0163019764463731,0.9993899414453696,2.2786014080047607
58,finished,0.0415185417633508,0.0149351837826677,0.999487950270494,2.872774839401245,0.0403933839362004,0.0149084444448593,0.9994897821346624,2.6335315704345703,0.0425873778085172,0.0154837655105091,0.9994496434112612,2.490633249282837
59,finished,0.0424608266292594,0.0150028454436973,0.9994833002286394,2.914201736450196,0.0441134065955168,0.0150407150149697,0.9994806884715224,2.9349985122680664,0.1387645125962003,0.0235765443583035,0.9987239981631576,2.7329015731811523
60,finished,1.8333481425262057,0.5019539991133429,0.3941966488326703,1.115654706954956,1.5571063581109847,0.4158346909266813,0.5842375442760345,1.0801076889038086,5.253683795680138,0.7048656696714232,-0.1945836101186739,1.0950980186462402
