,progress,mae,mse,r2,cpu_time
7680,finished,0.0005075216571703,3.828673397283112e-07,0.9999999809042744,0.2809891700744629
7681,finished,8.86975641766625e-06,6.914409690036887e-10,0.999999999965514,0.203434944152832
7682,finished,3.665233509726197,21.73246361818368,-0.0839189459329921,0.2976260185241699
7683,finished,1.4808665545198291e-05,8.11383924102148e-10,0.9999999999595318,0.2489533424377441
7684,finished,1.2017673040688583,2.2297686810776343,0.8887890226837494,0.0815701484680175
7685,finished,1.7746792973998304,5.3507639653056565,0.7331276131824456,0.1335289478302002
7686,finished,0.997482452635656,1.7927807512546894,0.9105840434692812,0.0901193618774414
7687,finished,2.027688127692947e-05,1.9700870456895234e-09,0.9999999999017408,0.2028596401214599
7688,finished,1.478065162020848e-05,7.520040151554226e-10,0.9999999999624932,0.22715425491333
7689,finished,0.0053313475780627,5.6840518700687245e-05,0.9999971650468996,0.1895272731781005
7690,finished,1.6041081529035985e-05,5.111814574600465e-10,0.9999999999745044,0.4527149200439453
7691,finished,1.506027538309849e-05,4.200401148440431e-10,0.9999999999790504,0.1759464740753173
7692,finished,1.0616694537237546e-05,3.641713596211604e-10,0.9999999999818368,0.2884573936462402
7693,finished,1.2918925443309729e-05,3.65519520526255e-10,0.9999999999817696,0.2535703182220459
7694,finished,2.8076896924662886,13.178488660681952,0.3427154054396107,0.165323257446289
7695,finished,1.1500981353793545e-05,4.0923650210480206e-10,0.9999999999795892,0.3148081302642822
7696,finished,1.252294722839989e-05,4.6463394336413456e-10,0.999999999976826,0.4151685237884521
7697,finished,1.318330766982658e-05,3.10371789509751e-10,0.99999999998452,0.4360837936401367
7698,finished,3.317970108982624,17.136471025965395,0.1453087906732193,0.1922821998596191
7699,finished,0.3901361671775406,0.2307837288321512,0.9884895306630156,0.2455863952636718
7700,finished,1.4161967049906863e-05,5.46996958560172e-10,0.9999999999727184,0.3731603622436523
7701,finished,1.185182541718482e-05,4.0512427239927556e-10,0.9999999999797942,0.4419982433319092
7702,finished,3.0901355588056623,16.71640149499372,0.1662599967227909,0.165536880493164
7703,finished,1.1216685356555664e-05,4.46399327785531e-10,0.9999999999777356,0.486147403717041
7704,finished,1.4849152354484778e-05,4.3911737399256036e-10,0.9999999999780989,0.4824056625366211
7705,finished,0.2055177150988725,0.0614277173261447,0.9969362577669512,0.1009852886199951
7706,finished,1.1508447007207917e-05,3.3520792074783927e-10,0.9999999999832812,0.2616851329803467
7707,finished,1.217855661591916e-05,5.764454678517456e-10,0.9999999999712494,0.2734537124633789
7708,finished,2.052835058784394,6.426741110805327,0.6794626429384752,0.4506747722625732
7709,finished,1.3838591410536062e-05,4.3020315987420815e-10,0.9999999999785434,0.2110307216644287
7710,finished,8.351640975748356e-06,1.1856315360974835e-09,0.999999999940866,0.1426267623901367
7711,finished,3.9458739978063537,27.573823235934253,-0.3752600690990788,0.4930713176727295
7712,finished,0.999488098769159,1.8523022310936508,0.9076153759118012,0.1780881881713867
7713,finished,8.520333386636616e-06,1.662171960614608e-10,0.99999999999171,0.3477680683135986
7714,finished,1.1550896128412194e-05,2.3534969589904173e-10,0.9999999999882618,0.3019735813140869
7715,finished,7.1918071892348586e-06,1.2006354484502414e-10,0.9999999999940118,0.4618012905120849
7716,finished,1.1328948431231652e-05,2.4607051791331707e-10,0.999999999987727,0.4938199520111084
7717,finished,2.680528648555419,10.685078838293576,0.46707563417138,0.4431018829345703
7718,finished,2.670543018270267,10.303422853388748,0.4861109428292042,0.2254881858825683
7719,finished,7.627130883284608e-06,1.1319737405900935e-10,0.9999999999943542,0.3999533653259277
7720,finished,1.7974684917228247e-05,4.811499991390744e-10,0.9999999999760024,0.3009557723999023
7721,finished,3.612244402762736,22.65189037108068,-0.1297758765770109,0.0202701091766357
7722,finished,1.073757088291322e-05,2.484006374764424e-10,0.9999999999876108,0.2879645824432373
