,method,noise_std,num_hf,num_lf,problem,seed
349,scaled_kriging,0.3,15,175,mf_Bohachevsky,3
350,scaled_kriging,0.5,15,175,mf_Bohachevsky,3
351,scaled_kriging,0.1,20,175,mf_Bohachevsky,3
352,scaled_kriging,0.3,20,175,mf_Bohachevsky,3
353,scaled_kriging,0.5,20,175,mf_Bohachevsky,3
354,scaled_kriging,0.1,25,175,mf_Bohachevsky,3
355,scaled_kriging,0.3,25,175,mf_Bohachevsky,3
356,scaled_kriging,0.5,25,175,mf_Bohachevsky,3
357,scaled_kriging,0.1,30,175,mf_Bohachevsky,3
358,scaled_kriging,0.3,30,175,mf_Bohachevsky,3
359,scaled_kriging,0.5,30,175,mf_Bohachevsky,3
360,scaled_kriging,0.1,5,200,mf_Bohachevsky,3
361,scaled_kriging,0.3,5,200,mf_Bohachevsky,3
362,scaled_kriging,0.5,5,200,mf_Bohachevsky,3
363,scaled_kriging,0.1,10,200,mf_Bohachevsky,3
364,scaled_kriging,0.3,10,200,mf_Bohachevsky,3
365,scaled_kriging,0.5,10,200,mf_Bohachevsky,3
366,scaled_kriging,0.1,15,200,mf_Bohachevsky,3
367,scaled_kriging,0.3,15,200,mf_Bohachevsky,3
368,scaled_kriging,0.5,15,200,mf_Bohachevsky,3
369,scaled_kriging,0.1,20,200,mf_Bohachevsky,3
370,scaled_kriging,0.3,20,200,mf_Bohachevsky,3
371,scaled_kriging,0.5,20,200,mf_Bohachevsky,3
372,scaled_kriging,0.1,25,200,mf_Bohachevsky,3
373,scaled_kriging,0.3,25,200,mf_Bohachevsky,3
374,scaled_kriging,0.5,25,200,mf_Bohachevsky,3
375,scaled_kriging,0.1,30,200,mf_Bohachevsky,3
376,scaled_kriging,0.3,30,200,mf_Bohachevsky,3
377,scaled_kriging,0.5,30,200,mf_Bohachevsky,3
378,scaled_kriging,0.1,5,50,mf_Bohachevsky,4
379,scaled_kriging,0.3,5,50,mf_Bohachevsky,4
380,scaled_kriging,0.5,5,50,mf_Bohachevsky,4
381,scaled_kriging,0.1,10,50,mf_Bohachevsky,4
382,scaled_kriging,0.3,10,50,mf_Bohachevsky,4
383,scaled_kriging,0.5,10,50,mf_Bohachevsky,4
384,scaled_kriging,0.1,15,50,mf_Bohachevsky,4
385,scaled_kriging,0.3,15,50,mf_Bohachevsky,4
386,scaled_kriging,0.5,15,50,mf_Bohachevsky,4
387,scaled_kriging,0.1,20,50,mf_Bohachevsky,4
388,scaled_kriging,0.3,20,50,mf_Bohachevsky,4
389,scaled_kriging,0.5,20,50,mf_Bohachevsky,4
390,scaled_kriging,0.1,25,50,mf_Bohachevsky,4
391,scaled_kriging,0.3,25,50,mf_Bohachevsky,4
392,scaled_kriging,0.5,25,50,mf_Bohachevsky,4
393,scaled_kriging,0.1,30,50,mf_Bohachevsky,4
394,scaled_kriging,0.3,30,50,mf_Bohachevsky,4
395,scaled_kriging,0.5,30,50,mf_Bohachevsky,4
396,scaled_kriging,0.1,5,75,mf_Bohachevsky,4
397,scaled_kriging,0.3,5,75,mf_Bohachevsky,4
398,scaled_kriging,0.5,5,75,mf_Bohachevsky,4
399,scaled_kriging,0.1,10,75,mf_Bohachevsky,4
400,scaled_kriging,0.3,10,75,mf_Bohachevsky,4
401,scaled_kriging,0.5,10,75,mf_Bohachevsky,4
402,scaled_kriging,0.1,15,75,mf_Bohachevsky,4
403,scaled_kriging,0.3,15,75,mf_Bohachevsky,4
404,scaled_kriging,0.5,15,75,mf_Bohachevsky,4
405,scaled_kriging,0.1,20,75,mf_Bohachevsky,4
