,method,num_hf,num_lf,problem,seed
204,hk,10,25,Forrester_1a,2
205,hk,12,25,Forrester_1a,2
206,hk,14,25,Forrester_1a,2
207,hk,16,25,Forrester_1a,2
208,hk,18,25,Forrester_1a,2
209,hk,20,25,Forrester_1a,2
210,hk,2,30,Forrester_1a,2
211,hk,4,30,Forrester_1a,2
212,hk,6,30,Forrester_1a,2
213,hk,8,30,Forrester_1a,2
214,hk,10,30,Forrester_1a,2
215,hk,12,30,Forrester_1a,2
216,hk,14,30,Forrester_1a,2
217,hk,16,30,Forrester_1a,2
218,hk,18,30,Forrester_1a,2
219,hk,20,30,Forrester_1a,2
220,hk,2,35,Forrester_1a,2
221,hk,4,35,Forrester_1a,2
222,hk,6,35,Forrester_1a,2
223,hk,8,35,Forrester_1a,2
224,hk,10,35,Forrester_1a,2
225,hk,12,35,Forrester_1a,2
226,hk,14,35,Forrester_1a,2
227,hk,16,35,Forrester_1a,2
228,hk,18,35,Forrester_1a,2
229,hk,20,35,Forrester_1a,2
230,hk,2,40,Forrester_1a,2
231,hk,4,40,Forrester_1a,2
232,hk,6,40,Forrester_1a,2
233,hk,8,40,Forrester_1a,2
234,hk,10,40,Forrester_1a,2
235,hk,12,40,Forrester_1a,2
236,hk,14,40,Forrester_1a,2
237,hk,16,40,Forrester_1a,2
238,hk,18,40,Forrester_1a,2
239,hk,20,40,Forrester_1a,2
240,hk,2,45,Forrester_1a,2
241,hk,4,45,Forrester_1a,2
242,hk,6,45,Forrester_1a,2
243,hk,8,45,Forrester_1a,2
244,hk,10,45,Forrester_1a,2
245,hk,12,45,Forrester_1a,2
246,hk,14,45,Forrester_1a,2
247,hk,16,45,Forrester_1a,2
248,hk,18,45,Forrester_1a,2
249,hk,20,45,Forrester_1a,2
250,hk,2,50,Forrester_1a,2
251,hk,4,50,Forrester_1a,2
252,hk,6,50,Forrester_1a,2
253,hk,8,50,Forrester_1a,2
254,hk,10,50,Forrester_1a,2
255,hk,12,50,Forrester_1a,2
256,hk,14,50,Forrester_1a,2
257,hk,16,50,Forrester_1a,2
258,hk,18,50,Forrester_1a,2
259,hk,20,50,Forrester_1a,2
260,hk,2,55,Forrester_1a,2
261,hk,4,55,Forrester_1a,2
262,hk,6,55,Forrester_1a,2
263,hk,8,55,Forrester_1a,2
264,hk,10,55,Forrester_1a,2
265,hk,12,55,Forrester_1a,2
266,hk,14,55,Forrester_1a,2
267,hk,16,55,Forrester_1a,2
268,hk,18,55,Forrester_1a,2
269,hk,20,55,Forrester_1a,2
270,hk,2,60,Forrester_1a,2
271,hk,4,60,Forrester_1a,2
272,hk,6,60,Forrester_1a,2
273,hk,8,60,Forrester_1a,2
274,hk,10,60,Forrester_1a,2
275,hk,12,60,Forrester_1a,2
276,hk,14,60,Forrester_1a,2
277,hk,16,60,Forrester_1a,2
278,hk,18,60,Forrester_1a,2
279,hk,20,60,Forrester_1a,2
280,hk,2,65,Forrester_1a,2
281,hk,4,65,Forrester_1a,2
282,hk,6,65,Forrester_1a,2
283,hk,8,65,Forrester_1a,2
284,hk,10,65,Forrester_1a,2
285,hk,12,65,Forrester_1a,2
286,hk,14,65,Forrester_1a,2
287,hk,16,65,Forrester_1a,2
288,hk,18,65,Forrester_1a,2
289,hk,20,65,Forrester_1a,2
290,hk,2,70,Forrester_1a,2
291,hk,4,70,Forrester_1a,2
